;Торговая точка;Торговая точка COD;Торговая точка GUID;Адрес
0;Хабаровская Империя-Пицца ООО (Хабаровск г, Тургенева ул, дом 80);УП-00076349;0FC1782A-90F2-11E1-BF75-F46D04E31E4B;680000, Хабаровский край, Хабаровск г, Тургенева ул, дом № 80
1;Пак В.В. ИП, К.Маркса_76;УП-00076428;3C9C8728-90F2-11E1-BF75-F46D04E31E4B;680000, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 76
3;"Маркет ООО Магазин ""Продукты""(Хабаровск г, Стрельникова ул, дом 22а)";УП-00076644;FF56E603-90F2-11E1-BF75-F46D04E31E4B;680054, Хабаровский край, Хабаровск г, Стрельникова ул, дом № 22а
4;Школьник  ООО (Хаб) (Хабаровск г, Адмиральская ул, 4 а);УП-00076774;9C9AA192-90F3-11E1-BF75-F46D04E31E4B;680033, Хабаровский край, Хабаровск г, Адмиральская ул, дом № 4а
6;Свято-Елизаветский приход г.Хабаровска;УП-00078114;7C61AA4D-2B5E-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Воронежская ул, дом № 49
7;"Куликов М.К. ИП Магазин""Витамин""(Хабаровск г, Ленинградская ул, дом 3)";УП-00078186;5E26068C-2B5C-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Ленинградская ул, дом № 3
8;Рандеву ОООРуднева ул, 19;УП-00080916;2D5636F1-D31E-11E2-B809-001E670756FD;680018, Хабаровский край, Хабаровск г, Руднева ул, дом № 19
9;Новоторг ТК ООО (Хабаровск г, Ленина ул, 32);УП-00080457;66270C95-6D1F-11E3-8506-001E672F0AED;680030, Хабаровский край, Хабаровск г, Ленина ул, дом № 32
11;ТД Мандарин ООО (Хабаровск г, Фабричный пер, 2А);УП-00083373;A3556169-FB92-11E5-80D9-44A8421C2298;680020, Хабаровский край, Хабаровск г, Фабричный пер, дом № 2, корпус А
12;Хабаровская Империя-Пицца ООО (Хабаровск г, Дикопольцева ул, 11);УП-00083046;0E706534-F195-11E5-80D9-44A8421C2298;680030, Хабаровский край, Хабаровск г, Дикопольцева ул, дом № 11
14;"Водолей ТТ ООО Магазин ""Наш Маркет"" (Хабаровск г, профессора Даниловского ул, дом 29а)";УП-00087531;C93E4A00-6412-11E6-80D0-44A8422A0503;680054, Хабаровский край, Хабаровск г, профессора Даниловского М.П. ул, дом № 29, корпус а
15;"Имущественный центр Новоторг ООО Магазин ""Максим"" (Хабаровск г, Большая ул, дом 99)";УП-00090085;F9B7271C-E29B-11E6-80D6-44A8422A0503;680009, Хабаровский край, Хабаровск г, Большая ул, дом № 99
16;"Погосян С.В. ИП Магазин ""Идеал"" (Хабаровск г, Совхозная ул, дом 86, корпус Б)";УП-00088420;7D08AF9F-86E3-11E6-80D5-44A8422A0503;680022, Хабаровский край, Хабаровск г, Совхозная ул, дом № 86, корпус Б
17;"Марка ООО Магазин ""Максим"" (Хабаровск г, Краснореченская ул, дом 44)";УП-00090036;99E8B3C7-E140-11E6-80D6-44A8422A0503;680003, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 44
22;"Новоторг-ДВ ООО Магазин ""Максим"" (Хабаровск г, Уссурийский б-р, дом 58)";УП-00092090;F1984167-49AF-11E7-80E0-44A8422A0503;680030, Хабаровский край, Хабаровск г, Уссурийский б-р, дом № 58
23;"Лига ООО Гастроном ""Эконом"" (Хабаровск г, Радищева ул, дом 6)";УП-00089716;884669AA-C7E9-11E6-80D6-44A8422A0503;680007, Хабаровский край, Хабаровск г, Радищева ул, дом № 6
24;"Оливка ООО Магазин ""Максим"" (Хабаровск г, Ленинградская ул, дом  81)";УП-00090039;14E321EA-E1C2-11E6-80D6-44A8422A0503;680021, Хабаровский край, Хабаровск г, Ленинградская ул, дом № 81
28;"Черемисова Е.А. ИП Магазин ""Продукты"" (Хабаровск г, Стрельникова ул, дом 22А)";УП-00093833;41B7C94B-7B40-11E7-80E4-44A8422A0503;680054, Хабаровский край, Хабаровск г, Стрельникова ул, дом № 22А
29;"Михайлюк Н. Ф. ИП, Столовая ""Уют"" (Тихоокеанская ул, дом136, этаж 3)";УП-00093296;F6C349E3-6C52-11E7-80E4-44A8422A0503;680035, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 136, этаж 3
31;Кязимов О.Г.О. ИП (Хабаровск г, Быстринская ул, дом 8В);УП-00099376;A44DB796-3D21-11E8-80FD-44A8422A0502;Хабаровский край, Хабаровск г, Быстринская ул, дом № 8В
32;"Дело Вкуса ООО Магазин ""Дело Вкуса"" (Хабаровск г, Гоголя ул, дом № 17, корпус 1)";УП-00102307;32D3A835-9623-11E8-80FF-44A8422A0502;680000, Хабаровский край, Хабаровск г, Гоголя ул, дом № 17, корпус 1
33;"Нива ООО Гастроном ""Эконом"" (Хабаровск г, Автобусная ул, дом 75)";УП-00105275;23928E80-F3A5-11E8-8107-44A8422A0503;680041, Хабаровский край, Хабаровск г, Автобусная ул, дом № 75
35;"Афина ООО Магазин ""Слива"" (Хабаровск г, Шкотова ул, дом 15 помещ.№31)";УП-00097179;EF55E6AC-E0B0-11E7-80F2-44A8422A0502;680014, Хабаровский край, Хабаровск г, Шкотова ул, дом № 15, помещение 31
36;"ДВ-АМУР ООО Алкомаркет ""Столица"" (680023, Хабаровский край, Хабаровск г,  Республиканская ул, дом 17)";УП-00103795;CC8513A4-C519-11E8-8105-44A8422A0502;680023, Хабаровский край, Хабаровск г, Республиканская ул, дом № 17
37;ООО «Квант», Магазин «Минимаркет» № 46 РАЗ ДВА, 680000 Хабаровский край г.Хабаровск, ул.Калинина,10,;УП-00094642;B48A5BB4-9690-11E7-80E7-44A8422A0503;680000, Хабаровский край, Хабаровск г, Калинина ул, дом № 10, помещение I (1,2,4-15,21)
38;"ООО «Квант» Магазин ""Минимаркет"" №112 РАЗ ДВА, 680023, Хабаровский край, г.Хабаровск, ул. Морозова П";УП-00094655;F42254E2-96A4-11E7-80E7-44A8422A0503;680023, Хабаровский край, Хабаровск г, Морозова Павла Леонтьевича ул, дом № 128Б, помещение 1
39;ООО Венга 680023, Хабаровский край, г. Хабаровск, ул. Павла Леонтьевича Морозова, 58, Литер Ж;УП-00094656;7AF50682-96A5-11E7-80E7-44A8422A0503;680023, Хабаровский край, Хабаровск г, Морозова Павла Леонтьевича ул, дом № 58, литера Ж
40;"ООО «Квант»  Магазин ""Минимаркет"" №104, 680020, Хабаровский край, г.Хабаровск, ул. Шеронова,7, пом. ";УП-00094647;B5A9A301-9696-11E7-80E7-44A8422A0503;680020, Хабаровский край, Хабаровск г, Шеронова ул, дом № 7, помещение 1
41;"ООО ""Венга"" 680013, Хабаровский край, г. Хабаровск, ул. Ленинградская, 28, Литер И";УП-00094663;99EBD96C-96C3-11E7-80E7-44A8422A0503;680013, Хабаровский край, Хабаровск г, Ленинградская ул, дом № 28, литера И
42;"ООО «Квант» Магазин ""Минимаркет"" №108, 680026, Хабаровский край, г. Хабаровск, ул. Бойко-Павлова, 9";УП-00094652;FB28010D-96A3-11E7-80E7-44A8422A0503;680026, Хабаровский край, Хабаровск г, Бойко-Павлова ул, дом № 9
44;"ООО ""Альва"", 680009, г. Хабаровск ул. Большая, д.88";УП-00089603;ED12E640-C25E-11E6-80D6-44A8422A0503;680000, Хабаровский край, Хабаровск г, Большая ул, дом № 88
45;ООО «Квант» Магазин «Минимаркет» № 40 РАЗ ДВА, 680045 Хабаровский край г. Хабаровск, ул. Королева, 8;УП-00094632;1557F217-968D-11E7-80E7-44A8422A0503;680045, Хабаровский край, Хабаровск г, Королева ул, дом № 8, помещение 1
47;ООО «Квант», Магазин «Минимаркет» №117 (Хабаровск г, Ленина ул,  22);УП-00082106;2FDE0593-D6AC-11E5-80D6-44A8421C2298;680030, Хабаровский край, Хабаровск г, Ленина ул, дом № 22
48;ООО «Квант» Магазин «Минимаркет» № 27 РАЗ ДВА, 680031, Хабаровский край, г.Хабаровск, Матвеевское ш,;УП-00094631;652C8DEF-968B-11E7-80E7-44A8422A0503;680031, Хабаровский край, Хабаровск г, Матвеевское ш, дом № 13, помещение I (5-10, 13, 14, 17-29), места общего пользования от части пом. I (11,12)
49;"ООО ""Венга"" 680014, Хабаровский край, г. Хабаровск, ул. Шкотова, 15,15А, Литер Б, Б1, Б2, Б3, Б4, Б5";УП-00094684;A9F509C3-9780-11E7-80E7-44A8422A0503;680014, Хабаровский край, Хабаровск г, Шкотова ул, дом № 15,15А, литера Б, Б1, Б2, Б3, Б4, Б5, Б6
54;"ООО ""Альва"" 680051, Хабаровский край, г. Хабаровск, ул. Суворова, 25";УП-00094687;60EF42A6-9781-11E7-80E7-44A8422A0503;680003, Хабаровский край, Хабаровск г, Суворова ул, дом № 25
57;"ООО ""ТОПАЗ"", Магазин «Минимаркет» №9 РАЗ ДВА, 680021,Хабаровский край, г. Хабаровск, ул. Владивосток";УП-00094784;D2706010-99C0-11E7-80E7-44A8422A0503;680021, Хабаровский край, Хабаровск г, Владивостокская ул, дом № 61А, помещение 1
59;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 22 РАЗ ДВА, 680023, Хабаровский край, г. Хабаровск, ул. Морозова";УП-00094795;748BF96C-99CE-11E7-80E7-44A8422A0503;680023, Хабаровский край, Хабаровск г, Морозова Павла Леонтьевича ул, дом № 113, помещение 1
60;"ООО ""ТОПАЗ"", Магазин «Минимаркет» №8 РАЗ ДВА, 680006, Хабаровский край, г. Хабаровск, ул. Пионерская";УП-00094783;8FBB0D9C-99C0-11E7-80E7-44A8422A0503;680006, Хабаровский край, Хабаровск г, Пионерская ул, дом № 10А
61;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 2 РАЗ ДВА, 680009, Хабаровский край, г. Хабаровск, ул. Промышлен";УП-00094780;9B39413A-99BF-11E7-80E7-44A8422A0503;"680009, Хабаровский край, Хабаровск г, Промышленная ул, дом № 25А, ""В"""
