Date;Time;Importance;Event;Actual;Forecast;Previous
2010/01/01;04:00;bull1;"3-Year Note Auction (Dec)";1.13%;;1.38%
2010/01/01;04:00;bull1;"30-Year Bond Auction (Dec)";4.38%;;4.38%
2010/01/01;04:00;bull1;"5-Year Note Auction (Dec)";2.63%;;2.13%
2010/01/01;04:00;bull1;"7-Year Note Auction (Dec)";3.25%;;2.75%
2010/01/01;04:00;bull1;"All Car Sales (Dec)";5.80M;;5.54M
2010/01/01;04:00;bull1;"All Truck Sales (Dec)";5.26M;;5.27M
2010/01/01;04:00;bull2;"Building Permits (MoM) (Dec)";10.90%;;6.00%
2010/01/01;04:00;bull1;"CB Employment Trends Index (Dec)";95.20;;93.60
2010/01/01;04:00;bull1;"Chain Store Sales (MoM) (Dec)";3.60%;;-0.20%
2010/01/01;04:00;bull1;"Chain Store Sales (YoY) (Dec)";2.00%;;2.91%
2010/01/01;04:00;bull1;"Chain Store Sales (WoW) (Dec)";0.34%;;-0.13%
2010/01/01;04:00;bull1;"Challenger Job Cuts (Dec)";45.09K;;50.35K
2010/01/01;04:00;bull1;"Chicago Fed National Activity (Dec)";-0.66;;-0.06
2010/01/01;04:00;bull1;"Cleveland CPI (MoM) (Dec)";0.00%;;0.00%
2010/01/01;04:00;bull1;"Continuing Jobless Claims (Dec)";5,088.09K;;5,452.33K
2010/01/01;04:00;bull2;"Core CPI (YoY) (Dec)";1.80%;;1.70%
2010/01/01;04:00;bull1;"Core CPI Index (Dec)";220.88;;220.67
2010/01/01;04:00;bull2;"Core PCE Price Index (YoY) (Dec)";1.50%;;1.40%
2010/01/01;04:00;bull1;"CPI (YoY) (Dec)";2.70%;;1.80%
2010/01/01;04:00;bull1;"CPI Index, n.s.a. (Dec)";215.95;;216.33
2010/01/01;04:00;bull1;"Dallas Fed Mfg Business Index (Dec)";3.80;;-0.30
2010/01/01;04:00;bull1;"Dallas Fed PCE (Dec)";0.60%;;1.00%
2010/01/01;04:00;bull1;"Dallas Fed Services Revenues (Dec)";1.90;;0.40
2010/01/01;04:00;bull1;"Domestic Truck Sales (Dec)";4.42M;;4.46M
2010/01/01;04:00;bull1;"Durables Excluding Defense (MoM) (Dec)";0.30%;;0.00%
2010/01/01;04:00;bull1;"EIA Weekly Distillates Stocks (Dec)";-1.51M;;-0.32M
2010/01/01;04:00;bull2;"Existing Home Sales (MoM) (Dec)";-19.10%;;8.40%
2010/01/01;04:00;bull2;"Export Price Index (MoM) (Dec)";0.70%;;0.80%
2010/01/01;04:00;bull1;"Factory orders ex transportation (MoM) (Dec)";1.00%;;1.50%
2010/01/01;04:00;bull1;"US Foreign Buying, T-bonds (Dec)";69.80B;;117.90B
2010/01/01;04:00;bull1;"Gasoline Inventories (Dec)";0.96M;;1.49M
2010/01/01;04:00;bull1;"Goods Orders Non Defense Ex Air (MoM) (Dec)";1.30%;;2.90%
2010/01/01;04:00;bull1;"Government Payrolls (Dec)";-51.00K;;9.00K
2010/01/01;04:00;bull1;"House Price Index (YoY) (Dec)";-2.00%;;-1.00%
2010/01/01;04:00;bull2;"Housing Starts (MoM) (Dec)";-1.20%;;10.10%
2010/01/01;04:00;bull2;"ISM Manufacturing Employment (Dec)";51.60;;51.70
2010/01/01;04:00;bull1;"ISM Manufacturing New Orders Index (Dec)";63.00;;60.60
2010/01/01;04:00;bull1;"ISM Non-Manufacturing Business Activity (Dec)";53.00;;50.90
2010/01/01;04:00;bull2;"ISM Non-Manufacturing Employment (Dec)";44.60;;42.80
2010/01/01;04:00;bull1;"ISM Non-Manufacturing New Orders (Dec)";51.60;;54.90
2010/01/01;04:00;bull1;"ISM Non-Manufacturing Prices (Dec)";58.50;;58.10
2010/01/01;04:00;bull1;"Jobless Claims 4-Week Avg. (Dec)";485.47K;;509.36K
2010/01/01;04:00;bull3;"JOLTs Job Openings (Dec)";2.49M;;2.42M
2010/01/01;04:00;bull1;"KC Fed Composite Index (Dec)";2.00;;6.00
2010/01/01;04:00;bull1;"KC Fed Manufacturing Index (Dec)";10.00;;16.00
